Avg_Degree,Lower_Bound_R0,Actual_R0,MPC Direct,MPC Lower Bound,MPC R0,Duration Direct,Duration Lower Bound,Duration R0,Avg Interval Direct,Avg Interval Lower Bound,Avg Interval R0
32.05,24.951951438693904,27.72214054883534,144.50785106613336,126.5514302224489,132.25936358181332,5.520558374992106,0.18725070799700916,0.18443883299187291,28.268345732777444,20.878198640621964,24.782027463364702
33.3,26.68526658211794,28.89546833479944,144.71704826482775,128.1328681490153,132.35881253133823,5.35742654101341,0.18943904199113604,0.18850737498723902,28.27112633254581,20.841785969961478,24.80288763695829
34.55,27.6415624439773,30.030851506179317,144.89885597639778,128.3914120450956,132.7348486478119,6.864648832997773,0.19624412500706967,0.19821104199218098,28.258979914868252,20.8515175014259,24.80858215420458
35.8,29.250259871454247,31.02801889335484,145.08426760382093,130.7650805600249,133.85237211473572,6.420505083995522,0.1886844580003526,0.20309491599618923,28.260696312253877,24.93714695014487,24.775641660337648
37.05,30.44494421989984,32.040300492038696,145.26257750383903,131.98028526889928,134.63143346208068,6.053394417001982,0.18248970800777897,0.20239329199830536,28.25922134212336,24.902173274255667,24.75839516588119
38.3,32.012307790091256,32.94195084559979,145.4368066397913,134.32884673412073,135.8057243987608,5.884827999994741,0.1722056670114398,0.17547466600080952,28.27462483838022,24.80437974562662,24.717292869305684
39.0,33.55942931065111,33.559429310651225,145.54345063137015,136.19354207207576,136.19352825838268,6.726240082993172,0.16785600000002887,0.15833308298897464,28.274456095364727,24.7076458199848,24.70764988494947
2.05,2.2499999999999982,2.2809220342858287,65.63310734249391,61.27635200466159,61.283645908645596,0.5889614999905461,0.057445290993200615,0.06081766600254923,28.450385913090425,21.29130060723043,21.279557457030283
3.3,3.1293475553669645,3.646217331412641,96.0526159734823,72.8802115808271,73.93093737059236,0.7018046250013867,0.06916099999216385,0.07067529200867284,28.404042314908768,21.291285552228633,21.128981885247573
4.55,4.063631563026814,4.708757396966152,109.81063658550572,79.74100630291109,81.27000804556266,0.8465777499950491,0.07880829200439621,0.07868545799283311,28.3790764163956,21.291274274460545,21.13850300607768
5.8,5.445034789495651,6.27367719986603,117.5684510360928,84.72427702305592,86.46599523406199,1.04496895900229,0.08572833299695048,0.0914163749985164,28.28061596138373,21.291303662551655,21.14215997578015
7.05,6.519037589558425,7.516909353504208,123.41489376005912,88.86108920006237,90.93164884219661,1.0660364999930607,0.09153966700250749,0.09548141600680538,28.235903240419393,21.29126958472745,21.14037471530952
8.3,7.008788754596466,8.416778853079954,127.83928571128104,92.1221582572794,95.34363195530065,1.3591989999986254,0.09377958299592137,0.09748391600442119,28.25577447864849,21.291280174007984,21.090484013079607
9.55,7.788798381424403,9.417897664921448,130.69239684970475,95.30197564380799,99.33672712574494,1.604033832991263,0.09564679200411774,0.09847812500083819,28.25023555422139,21.264349629859883,21.041105184886053
10.8,8.634886373416787,10.442112784224516,133.04464203442075,98.24238799822665,103.0148030036028,1.5483354589960072,0.09724045899929479,0.11049029199057259,28.241824499687404,21.232683115828298,20.992984041352553
12.05,9.538080138178472,11.707800873800334,134.61460736591195,100.38528369772055,106.12546322888068,2.26635754200106,0.10656941600609571,0.12014445799286477,28.22698327651048,21.219579089658158,20.94897946145095
13.3,10.121244592393136,12.600881133304544,136.16857282710905,102.17400686460897,108.71798882826018,2.3025909999996657,0.11061674999655224,0.12373720901086926,28.230757350551354,21.22186812704698,20.92918753031271
14.55,10.661674764347913,13.57663455974985,137.4014585084576,104.28969629575874,112.51928345110059,2.301899957994465,0.11678587501228321,0.13433158298721537,28.23476290811142,21.203175226691396,20.858161925535352
15.8,11.826815257102336,14.62496778107698,138.47900954372435,106.64463369323956,114.54627300185982,3.0436065420071827,0.12782587499532383,0.14222700000391342,28.239633699891534,21.163923913136426,20.847060253560667
